isco4,name_et
3221,Hooldustöötajad
3222,Ämmaemanda abid
3230,Täiendmeditsiini ja loodusravi keskastme spetsialistid
3240,Veterinaartehnikud
3251,Hambaraviõed ja hambaravi keskastme spetsialistid
3252,Meditsiiniregistrite ja terviseteabe keskastme spetsialistid
3253,Kohalike omavalitsuste tervishoiutöötajad
3254,Optometristid ja optikud
3255,Abifüsioterapeudid
3256,Abiarstid
3257,Tervisekaitse- ja töötervishoiuinspektorid jms keskastme spetsialistid
3258,Kiirabitehnikud
3259,"Tervishoiu keskastme spetsialistid, mujal liigitamata"
3311,Väärtpaberi- ja valuutamaaklerid ning -vahendajad
3312,Krediidi- ja laenuhaldurid
3313,Raamatupidamise keskastme spetsialistid
3314,Statistilise ja matemaatilise arvestuse jms keskastme spetsialistid
3315,Hindajad ja kahjuhindajad
3321,Kindlustusagendid
3322,Müügiesindajad
3323,Varustajad
3324,Kaubamaaklerid
3331,Tollimaaklerid ja ekspedeerijad
3332,Konverentside ja ürituste korraldajad
3333,Töövahendajad
3334,Kinnisvaramaaklerid ja -haldurid
3339,"Äriteenuste agendid, mujal liigitamata"
3341,Kontorijuhatajad
3342,Juristid-asjaajajad
3343,Sekretärid-asjaajajad ja sekretärid-juhiabid
3344,Meditsiinivaldkonna sekretärid
3351,Tolli- ja piiriinspektorid
3352,Maksu- ja aktsiisiametnikud
3353,Sotsiaalkindlustusametnikud
3354,Litsentside ja lubade menetlejad
3359,"Valitsuse haldusalade ametnikud, mujal liigitamata"
3411,Õigusvaldkonna keskastme spetsialistid
3412,Sotsiaaltöö keskastme spetsialistid
3413,Religioonivaldkonna keskastme spetsialistid
3421,Sportlased
3422,"Treenerid, spordiinstruktorid ja -ametnikud"
3423,Tervisespordi- ja vabaajateenuste instruktorid ja programmijuhid
3431,Fotograafid
3432,Sisekujundajad ja dekoraatorid
3433,"Galeriide, muuseumide ja raamatukogude tehnilised töötajad"
3434,Peakokad
3435,Muud kunsti- ja kultuurivaldkonna keskastme spetsialistid
3511,IKT operaatorid
3512,IKT kasutajatoe tehnikud
3513,Arvutivõrkude ja -süsteemide tehnikud
3514,Veebitehnikud
3521,Audiovisuaal- ja ringhäälingutehnikud
3522,Telekommunikatsioonitehnikud
4110,Kontoriabilised
4120,Asjaajamise tugitöötajad
4131,Masinakirjutajad jms tekstitöötlejad
4132,Andmesisestajad
4211,Pangatellerid jms klienditeenindajad
4212,"Kihlvedude vahendajad, krupjeed jm hasartmängutöötajad"
4213,Pandimajapidajad ja rahalaenajad
4214,Võlgade sissenõudjad jms töötajad
4221,Reisikonsultandid jm reisibüroo klienditeenindajad
4222,Kõne- ja kontaktikeskuse klienditeenindajad
4223,Telefonivahendusjaama operaatorid
4224,Hotelliadministraatorid
4225,Infopunkti klienditeenindajad
4226,Üldadministraatorid
4227,"Uuringute, sh turu-uuringute küsitlejad"
4229,"Klienditeenindajad, mujal liigitamata"
4311,Raamatupidamise kontoritöötajad
4312,"Statistilise arvestuse, rahanduse ja kindlustuse kontoritöötajad"
4313,Palgaarvestajad
4321,Laoarvestuse kontoritöötajad
4322,Tootmisarvestuse kontoritöötajad
4323,Transpordivaldkonna kontoritöötajad
4411,Raamatukogutöö assistendid
4412,Posti sorteerijad ja kättetoimetajad
4413,"Kodeerijad, korrektorid jms töötajad"
4414,Kirjaabilised jms töötajad
4415,Kartoteegi- ja registripidajad
4416,Personalitöö assistendid
4419,"Kontoritöötajad ja klienditeenindajad, mujal liigitamata"
5111,Reisi- ja lennusaatjad
5112,Kontrolörid ja konduktorid
5113,Giidid
5120,Kokad
5131,Ettekandjad ja kelnerid
5132,Baariteenindajad
5141,Juuksurid
5142,Iluteenindajad (v.a juuksurid)
5151,"Kontorite, hotellide jm asutuste koristus- ja majapidamistööde juhatajad"
5152,Kodumajapidajad
5153,Hoonete haldajad
5161,"Astroloogid, ennustajad jms töötajad"
5162,Seltsilised ja teenrid
